,pairID,premise,hypothesis,propositional_logic_rule
18,2946464027.jpg#0r1e,A family is at the beach.,Either a family is at the beach or no family is at the beach. ,Disjunction
19,2946464027.jpg#0r1e,A family is at the beach.,Both a family is at the beach and no family is at the beach. ,Conjunction
20,3572548523.jpg#4r1e,A couple is walking together.,Either a couple is walking together or no couple is walking together. ,Disjunction
21,3572548523.jpg#4r1e,A couple is walking together.,Both a couple is walking together and no couple is walking together. ,Conjunction
22,4460943467.jpg#0r1n,Three hood wearing people pose for a picture.,Either three hood wearing people pose for a picture or no three hood wearing people pose for a picture. ,Disjunction
23,4460943467.jpg#0r1n,Three hood wearing people pose for a picture.,Both three hood wearing people pose for a picture and no three hood wearing people pose for a picture. ,Conjunction
24,4460943467.jpg#0r1e,Three hood wearing people stand in a street.,Either three hood wearing people stand in a street or no three hood wearing people stand in a street. ,Disjunction
25,4460943467.jpg#0r1e,Three hood wearing people stand in a street.,Both three hood wearing people stand in a street and no three hood wearing people stand in a street. ,Conjunction
26,2096485764.jpg#0r1e,The man is inside.,Either the man is inside or the man is not inside. ,Disjunction
27,2096485764.jpg#0r1e,The man is inside.,Both the man is inside and the man is not inside. ,Conjunction
28,4679111230.jpg#2r1e,Three firefighters coming up from a subway station.,Either three firefighters coming up from a subway station or no more than two firefighters coming up from a subway station. ,Disjunction
29,4679111230.jpg#2r1e,Three firefighters coming up from a subway station.,Both three firefighters coming up from a subway station and no more than two firefighters coming up from a subway station. ,Conjunction
30,2892843393.jpg#1r1e,A person is near a pile of coconuts.,Either a person is near a pile of coconuts or no person is near a pile of coconuts. ,Disjunction
31,2892843393.jpg#1r1e,A person is near a pile of coconuts.,Both a person is near a pile of coconuts and no person is near a pile of coconuts. ,Conjunction
32,4923271886.jpg#2r1e,The guy wearing a blue jacket is laying on the green grass.,Either the guy wearing a blue jacket is laying on the green grass or the guy wearing a blue jacket is not laying on the green grass. ,Disjunction
33,4923271886.jpg#2r1e,The guy wearing a blue jacket is laying on the green grass.,Both the guy wearing a blue jacket is laying on the green grass and the guy wearing a blue jacket is not laying on the green grass. ,Conjunction
34,4770171876.jpg#0r1e,A boy is on a playground.,Either a boy is on a playground or no boy is on a playground. ,Disjunction
35,4770171876.jpg#0r1e,A boy is on a playground.,Both a boy is on a playground and no boy is on a playground. ,Conjunction
36,351765604.jpg#0r1e,A squatting woman wearing a hat touching the ground.,Either a squatting woman wearing a hat touching the ground or no squatting woman wearing a hat is touching the ground. ,Disjunction
37,351765604.jpg#0r1e,A squatting woman wearing a hat touching the ground.,Both a squatting woman wearing a hat touching the ground and no squatting woman wearing a hat is touching the ground. ,Conjunction
38,847782643.jpg#0r1e,Two children are on a rug.,Either two children are on a rug or no two children are on a rug. ,Disjunction
39,847782643.jpg#0r1e,Two children are on a rug.,Both two children are on a rug and no two children are on a rug. ,Conjunction
40,3020218156.jpg#2r1e,A guy near a building stands by two other men.,Either a guy near a building stands by two other men or no guy near a building stands by two other men. ,Disjunction
41,3020218156.jpg#2r1e,A guy near a building stands by two other men.,Both a guy near a building stands by two other men and no guy near a building stands by two other men. ,Conjunction
42,3036382555.jpg#0r1e,Girls are playing outdoors.,Either girls are playing outdoors or no girls are playing outdoors. ,Disjunction
43,3036382555.jpg#0r1e,Girls are playing outdoors.,Both girls are playing outdoors and no girls are playing outdoors. ,Conjunction
44,407008823.jpg#3r1e,People are jumping outside.,Either people are jumping outside or nobody is jumping outside. ,Disjunction
45,407008823.jpg#3r1e,People are jumping outside.,Both people are jumping outside and nobody is jumping outside. ,Conjunction
46,3364026240.jpg#3r1e,A snow field with a snowboarder on it.,Either a snow field with a snowboarder on it or no snow field with a snowboarder on it. ,Disjunction
47,3364026240.jpg#3r1e,A snow field with a snowboarder on it.,Both a snow field with a snowboarder on it and no snow field with a snowboarder on it. ,Conjunction
48,3437522515.jpg#3r1e,The lady has a garden.,Either the lady has a garden or the lady does not have a garden. ,Disjunction
49,3437522515.jpg#3r1e,The lady has a garden.,Both the lady has a garden and the lady does not have a garden. ,Conjunction
50,2936881937.jpg#4r1e,A man watches bike repairs.,Either a man watches bike repairs or no man watches bike repairs. ,Disjunction
51,2936881937.jpg#4r1e,A man watches bike repairs.,Both a man watches bike repairs and no man watches bike repairs. ,Conjunction
52,2936881937.jpg#2r1e,A man is in a black shirt.,Either a man is in a black shirt or no man is in a black shirt. ,Disjunction
53,2936881937.jpg#2r1e,A man is in a black shirt.,Both a man is in a black shirt and no man is in a black shirt. ,Conjunction
54,2936881937.jpg#0r1n,A person is in a garage.,Either a person is in a garage or no person is in a garage. ,Disjunction
55,2936881937.jpg#0r1n,A person is in a garage.,Both a person is in a garage and no person is in a garage. ,Conjunction
56,2936881937.jpg#0r1e,A man repairs bicycles.,Either a man repairs bicycles or no man repairs bicycles. ,Disjunction
57,2936881937.jpg#0r1e,A man repairs bicycles.,Both a man repairs bicycles and no man repairs bicycles. ,Conjunction
58,4499295511.jpg#0r1e,People wait at a station.,Either people wait at a station or nobody waits at a station. ,Disjunction
59,4499295511.jpg#0r1e,People wait at a station.,Both people wait at a station and nobody waits at a station. ,Conjunction
60,2876232980.jpg#0r1e,A child wearing a red top is standing behind a blond headed child.,Either a child wearing a red top is standing behind a blond headed child or no child wearing a red top is standing behind a blond headed child. ,Disjunction
61,2876232980.jpg#0r1e,A child wearing a red top is standing behind a blond headed child.,Both a child wearing a red top is standing behind a blond headed child and no child wearing a red top is standing behind a blond headed child. ,Conjunction
62,2508019949.jpg#0r1e,A person outside pushing a stroller.,Either a person outside pushing a stroller or no person outside is pushing a stroller. ,Disjunction
63,2508019949.jpg#0r1e,A person outside pushing a stroller.,Both a person outside pushing a stroller and no person outside is pushing a stroller. ,Conjunction
64,3338217927.jpg#2r1e,An animal is outside in the cold weather playing with a plastic toy.,Either an animal is outside in the cold weather playing with a plastic toy or no animal is outside in the cold weather playing with a plastic toy. ,Disjunction
65,3338217927.jpg#2r1e,An animal is outside in the cold weather playing with a plastic toy.,Both an animal is outside in the cold weather playing with a plastic toy and no animal is outside in the cold weather playing with a plastic toy. ,Conjunction
66,264460711.jpg#2r1e,People are talking underneath a covering.,Either people are talking underneath a covering or nobody is talking underneath a covering. ,Disjunction
67,264460711.jpg#2r1e,People are talking underneath a covering.,Both people are talking underneath a covering and nobody is talking underneath a covering. ,Conjunction
68,6082587848.jpg#1r1e,A girl is playing an instrument.,Either a girl is playing an instrument or no girl is playing an instrument. ,Disjunction
69,6082587848.jpg#1r1e,A girl is playing an instrument.,Both a girl is playing an instrument and no girl is playing an instrument. ,Conjunction
70,6082587848.jpg#3r1e,A woman is playing the violin.,Either a woman is playing the violin or no woman is playing the violin. ,Disjunction
71,6082587848.jpg#3r1e,A woman is playing the violin.,Both a woman is playing the violin and no woman is playing the violin. ,Conjunction
72,6979303317.jpg#0r1e,Three men look at the camera.,Either three men look at the camera or no three men look at the camera. ,Disjunction
73,6979303317.jpg#0r1e,Three men look at the camera.,Both three men look at the camera and no three men look at the camera. ,Conjunction
74,4114589329.jpg#0r1e,A car making a right turn had three pedestrians cross behind it.,Either a car making a right turn had three pedestrians cross behind it or no car making a right turn had three pedestrians cross behind it. ,Disjunction
75,4114589329.jpg#0r1e,A car making a right turn had three pedestrians cross behind it.,Both a car making a right turn had three pedestrians cross behind it and no car making a right turn had three pedestrians cross behind it. ,Conjunction
76,4114589329.jpg#2r1e,There are three boys.,Either there are three boys or there are not three boys. ,Disjunction
77,4114589329.jpg#2r1e,There are three boys.,Both there are three boys and there are not three boys. ,Conjunction
78,4114589329.jpg#2r1n,The boys are on the street.,Either the boys are on the street or the boys are not on the street. ,Disjunction
79,4114589329.jpg#2r1n,The boys are on the street.,Both the boys are on the street and the boys are not on the street. ,Conjunction
80,2147876139.jpg#4r1n,Some people are blowing out candles.,Either some people are blowing out candles or no people are blowing out candles. ,Disjunction
81,2147876139.jpg#4r1n,Some people are blowing out candles.,Both some people are blowing out candles and no people are blowing out candles. ,Conjunction
82,2147876139.jpg#4r1e,There are three girls and a cake.,Either there are three girls and a cake or there are not three girls and a cake. ,Disjunction
83,2147876139.jpg#4r1e,There are three girls and a cake.,Both there are three girls and a cake and there are not three girls and a cake. ,Conjunction
84,2622986361.jpg#2r1e,The crowd on the ground is watching 3 people on the roofs edge.,Either the crowd on the ground is watching 3 people on the roofs edge or the crowd on the ground is not watching 3 people on the roofs edge. ,Disjunction
85,2622986361.jpg#2r1e,The crowd on the ground is watching 3 people on the roofs edge.,Both the crowd on the ground is watching 3 people on the roofs edge and the crowd on the ground is not watching 3 people on the roofs edge. ,Conjunction
86,4963234016.jpg#4r1e,A woman is working.,Either a woman is working or no woman is working. ,Disjunction
87,4963234016.jpg#4r1e,A woman is working.,Both a woman is working and no woman is working. ,Conjunction
88,3661659196.jpg#3r1e,People talking next to lockers.,Either people talking next to lockers or nobody is talking next to lockers. ,Disjunction
89,3661659196.jpg#3r1e,People talking next to lockers.,Both people talking next to lockers and nobody is talking next to lockers. ,Conjunction
90,4512171349.jpg#2r1e,Two kids are hugging.,Either two kids are hugging or no two kids are hugging. ,Disjunction
91,4512171349.jpg#2r1e,Two kids are hugging.,Both two kids are hugging and no two kids are hugging. ,Conjunction
92,4512171349.jpg#1r1e,Two kids were hugging.,Either two kids were hugging or no two kids were hugging. ,Disjunction
93,4512171349.jpg#1r1e,Two kids were hugging.,Both two kids were hugging and no two kids were hugging. ,Conjunction
94,4801146545.jpg#2r1e,A large number of people walking on a street.,Either a large number of people walking on a street or no large number of people walking on a street. ,Disjunction
95,4801146545.jpg#2r1e,A large number of people walking on a street.,Both a large number of people walking on a street and no large number of people walking on a street. ,Conjunction
96,7591663030.jpg#4r1e,A man is riding a motorcycle.,Either a man is riding a motorcycle or no man is riding a motorcycle. ,Disjunction
97,7591663030.jpg#4r1e,A man is riding a motorcycle.,Both a man is riding a motorcycle and no man is riding a motorcycle. ,Conjunction
98,5389902618.jpg#2r1e,Indian women perform together in gorgeous costumes.,Either indian women perform together in gorgeous costumes or no indian women perform together in gorgeous costumes. ,Disjunction
99,5389902618.jpg#2r1e,Indian women perform together in gorgeous costumes.,Both indian women perform together in gorgeous costumes and no indian women perform together in gorgeous costumes. ,Conjunction
100,7249180494.jpg#0r1e,A person is swimming.,Either a person is swimming or no person is swimming. ,Disjunction
101,7249180494.jpg#0r1e,A person is swimming.,Both a person is swimming and no person is swimming. ,Conjunction
102,7249180494.jpg#1r1e,A person is walking out of water.,Either a person is walking out of water or no person is walking out of water. ,Disjunction
103,7249180494.jpg#1r1e,A person is walking out of water.,Both a person is walking out of water and no person is walking out of water. ,Conjunction
104,4234824441.jpg#2r1e,There are people outside.,Either there are people outside or there are no people outside. ,Disjunction
105,4234824441.jpg#2r1e,There are people outside.,Both there are people outside and there are no people outside. ,Conjunction
106,1680409989.jpg#3r1e,There is a woman painting.,Either there is a woman painting or there is not a woman painting. ,Disjunction
107,1680409989.jpg#3r1e,There is a woman painting.,Both there is a woman painting and there is not a woman painting. ,Conjunction
108,4581834644.jpg#1r1e,People are eating at a table outside.,Either people are eating at a table outside or nobody is eating at a table outside. ,Disjunction
109,4581834644.jpg#1r1e,People are eating at a table outside.,Both people are eating at a table outside and nobody is eating at a table outside. ,Conjunction
110,4684641618.jpg#0r1e,The women were walking downtown.,Either the women were walking downtown or the women were not walking downtown. ,Disjunction
111,4684641618.jpg#0r1e,The women were walking downtown.,Both the women were walking downtown and the women were not walking downtown. ,Conjunction
112,525338588.jpg#0r1e,The group of people arent inide of the building.,Either the group of people arent inide of the building or the group of people are inside of the building. ,Disjunction
113,525338588.jpg#0r1e,The group of people arent inide of the building.,Both the group of people arent inide of the building and the group of people are inside of the building. ,Conjunction
114,1384292980.jpg#1r1e,Girls walk down the street.,Either girls walk down the street or no girls walk down the street. ,Disjunction
115,1384292980.jpg#1r1e,Girls walk down the street.,Both girls walk down the street and no girls walk down the street. ,Conjunction
116,216172386.jpg#0r1e,A person standing.,Either a person standing or no person is standing. ,Disjunction
117,216172386.jpg#0r1e,A person standing.,Both a person standing and no person is standing. ,Conjunction
118,216172386.jpg#0r1n,A man standing on his motorbike.,Either a man standing on his motorbike or no man is standing on his motorbike. ,Disjunction
119,216172386.jpg#0r1n,A man standing on his motorbike.,Both a man standing on his motorbike and no man is standing on his motorbike. ,Conjunction
120,2245918465.jpg#1r1e,The man puts something on the other mans head.,Either the man puts something on the other mans head or the man does not put something on the other man's head. ,Disjunction
121,2245918465.jpg#1r1e,The man puts something on the other mans head.,Both the man puts something on the other mans head and the man does not put something on the other man's head. ,Conjunction
122,2289096282.jpg#1r1e,Two people are outside.,Either two people are outside or no two people are outside. ,Disjunction
123,2289096282.jpg#1r1e,Two people are outside.,Both two people are outside and no two people are outside. ,Conjunction
124,3167503189.jpg#2r1e,A boy is against the wall of a raised foundation.,Either a boy is against the wall of a raised foundation or no boy is against the wall of a raised foundation. ,Disjunction
125,3167503189.jpg#2r1e,A boy is against the wall of a raised foundation.,Both a boy is against the wall of a raised foundation and no boy is against the wall of a raised foundation. ,Conjunction
126,7523563426.jpg#0r1e,Bruce springsteen is a singer.,Either bruce springsteen is a singer or bruce springsteen is not a singer. ,Disjunction
127,7523563426.jpg#0r1e,Bruce springsteen is a singer.,Both bruce springsteen is a singer and bruce springsteen is not a singer. ,Conjunction
128,3626642428.jpg#3r1e,Six dogs are outdoors.,Either six dogs are outdoors or no dog is outdoors. ,Disjunction
129,3626642428.jpg#3r1e,Six dogs are outdoors.,Both six dogs are outdoors and no dog is outdoors. ,Conjunction
130,4859630545.jpg#1r1e,A man and woman take selfies of themselves.,Either a man and woman take selfies of themselves or no man and woman take selfies of themselves. ,Disjunction
131,4859630545.jpg#1r1e,A man and woman take selfies of themselves.,Both a man and woman take selfies of themselves and no man and woman take selfies of themselves. ,Conjunction
132,288351324.jpg#4r1e,People are dancing.,Either people are dancing or nobody is dancing. ,Disjunction
133,288351324.jpg#4r1e,People are dancing.,Both people are dancing and nobody is dancing. ,Conjunction
134,2398915100.jpg#3r1e,Men sit on the bus.,Either men sit on the bus or no men sit on the bus. ,Disjunction
135,2398915100.jpg#3r1e,Men sit on the bus.,Both men sit on the bus and no men sit on the bus. ,Conjunction
136,4361879526.jpg#4r1e,Two people climbing on a wooden scaffold.,Either two people climbing on a wooden scaffold or no two people are climbing on a wooden scaffold. ,Disjunction
137,4361879526.jpg#4r1e,Two people climbing on a wooden scaffold.,Both two people climbing on a wooden scaffold and no two people are climbing on a wooden scaffold. ,Conjunction
138,4928783075.jpg#1r1e,A young boy is playing in a feild.,Either a young boy is playing in a feild or no young boy is playing in a feild. ,Disjunction
139,4928783075.jpg#1r1e,A young boy is playing in a feild.,Both a young boy is playing in a feild and no young boy is playing in a feild. ,Conjunction
140,4846892973.jpg#0r1e,Six or seven people are standing on a pier.,Either six or seven people are standing on a pier or no more than five people are standing on a pier. ,Disjunction
141,4846892973.jpg#0r1e,Six or seven people are standing on a pier.,Both six or seven people are standing on a pier and no more than five people are standing on a pier. ,Conjunction
142,4923472130.jpg#2r1e,A person wears a red shirt.,Either a person wears a red shirt or no person wears a red shirt. ,Disjunction
143,4923472130.jpg#2r1e,A person wears a red shirt.,Both a person wears a red shirt and no person wears a red shirt. ,Conjunction
144,2348557363.jpg#4r1e,The child is on the steps.,Either the child is on the steps or the child is not on the steps. ,Disjunction
145,2348557363.jpg#4r1e,The child is on the steps.,Both the child is on the steps and the child is not on the steps. ,Conjunction
146,3439382048.jpg#3r1e,The person is playing basketball.,Either the person is playing basketball or the person is not playing basketball. ,Disjunction
147,3439382048.jpg#3r1e,The person is playing basketball.,Both the person is playing basketball and the person is not playing basketball. ,Conjunction
148,1354318519.jpg#1r1e,A boy in a red hood is happy.,Either a boy in a red hood is happy or no boy in a red hood is happy. ,Disjunction
149,1354318519.jpg#1r1e,A boy in a red hood is happy.,Both a boy in a red hood is happy and no boy in a red hood is happy. ,Conjunction
150,484443289.jpg#1r1e,The man is wearing a gray cap.,Either the man is wearing a gray cap or the man is not wearing a gray cap. ,Disjunction
151,484443289.jpg#1r1e,The man is wearing a gray cap.,Both the man is wearing a gray cap and the man is not wearing a gray cap. ,Conjunction
152,484443289.jpg#0r1e,An old woman has a jean jacket.,Either an old woman has a jean jacket or no old woman has a jean jacket. ,Disjunction
153,484443289.jpg#0r1e,An old woman has a jean jacket.,Both an old woman has a jean jacket and no old woman has a jean jacket. ,Conjunction
154,3544654074.jpg#2r1n,The couple is having fun.,Either the couple is having fun or the couple is not having fun. ,Disjunction
155,3544654074.jpg#2r1n,The couple is having fun.,Both the couple is having fun and the couple is not having fun. ,Conjunction
156,3544654074.jpg#2r1e,The couple just got married.,Either the couple just got married or the couple did not just get married. ,Disjunction
157,3544654074.jpg#2r1e,The couple just got married.,Both the couple just got married and the couple did not just get married. ,Conjunction
158,4796753895.jpg#1r1e,The man is moving.,Either the man is moving or the man is not moving. ,Disjunction
159,4796753895.jpg#1r1e,The man is moving.,Both the man is moving and the man is not moving. ,Conjunction
160,4796753895.jpg#1r1n,The man is wearing work attire and is walking to his job.,Either the man is wearing work attire and is walking to his job or the man is not wearing work attire and is not walking to his job. ,Disjunction
161,4796753895.jpg#1r1n,The man is wearing work attire and is walking to his job.,Both the man is wearing work attire and is walking to his job and the man is not wearing work attire and is not walking to his job. ,Conjunction
162,3419238351.jpg#0r1e,People are in the house.,Either people are in the house or nobody is in the house. ,Disjunction
163,3419238351.jpg#0r1e,People are in the house.,Both people are in the house and nobody is in the house. ,Conjunction
164,4715587253.jpg#3r1e,A woman is singing.,Either a woman is singing or no woman is singing. ,Disjunction
165,4715587253.jpg#3r1e,A woman is singing.,Both a woman is singing and no woman is singing. ,Conjunction
166,3126681108.jpg#1r1e,The girl is walking outside.,Either the girl is walking outside or the girl is not walking outside. ,Disjunction
167,3126681108.jpg#1r1e,The girl is walking outside.,Both the girl is walking outside and the girl is not walking outside. ,Conjunction
168,2770821714.jpg#2r1n,A family on vacation is posing.,Either a family on vacation is posing or no family on vacation is posing. ,Disjunction
169,2770821714.jpg#2r1n,A family on vacation is posing.,Both a family on vacation is posing and no family on vacation is posing. ,Conjunction
170,2770821714.jpg#2r1e,People are outdoors.,Either people are outdoors or nobody is outdoors. ,Disjunction
171,2770821714.jpg#2r1e,People are outdoors.,Both people are outdoors and nobody is outdoors. ,Conjunction
172,535179217.jpg#1r1e,The people are standing.,Either the people are standing or the people are not standing. ,Disjunction
173,535179217.jpg#1r1e,The people are standing.,Both the people are standing and the people are not standing. ,Conjunction
174,764507.jpg#3r1e,A group of people eat food.,Either a group of people eat food or no group of people eat food. ,Disjunction
175,764507.jpg#3r1e,A group of people eat food.,Both a group of people eat food and no group of people eat food. ,Conjunction
176,2286270205.jpg#3r1e,Animal is outdoors.,Either animal is outdoors or no animal is outdoors. ,Disjunction
177,2286270205.jpg#3r1e,Animal is outdoors.,Both animal is outdoors and no animal is outdoors. ,Conjunction
178,4777826385.jpg#0r1e,An older man leans outside a building.,Either an older man leans outside a building or no older man leans outside a building. ,Disjunction
179,4777826385.jpg#0r1e,An older man leans outside a building.,Both an older man leans outside a building and no older man leans outside a building. ,Conjunction
180,3944497603.jpg#2r1e,Someone is standing near a metro station.,Either someone is standing near a metro station or nobody is standing near a metro station. ,Disjunction
181,3944497603.jpg#2r1e,Someone is standing near a metro station.,Both someone is standing near a metro station and nobody is standing near a metro station. ,Conjunction
182,2592711202.jpg#3r1e,The girl is eating while barefoot.,Either the girl is eating while barefoot or the girl is not eating while barefoot. ,Disjunction
183,2592711202.jpg#3r1e,The girl is eating while barefoot.,Both the girl is eating while barefoot and the girl is not eating while barefoot. ,Conjunction
184,6935146937.jpg#1r1e,The man is playing.,Either the man is playing or the man is not playing. ,Disjunction
185,6935146937.jpg#1r1e,The man is playing.,Both the man is playing and the man is not playing. ,Conjunction
186,6935146937.jpg#0r1e,A crowd is watching someone play basketball.,Either a crowd is watching someone play basketball or no crowd is watching someone play basketball. ,Disjunction
187,6935146937.jpg#0r1e,A crowd is watching someone play basketball.,Both a crowd is watching someone play basketball and no crowd is watching someone play basketball. ,Conjunction
188,4692746525.jpg#1r1e,A group of people are standing outside.,Either a group of people are standing outside or no group of people are standing outside. ,Disjunction
189,4692746525.jpg#1r1e,A group of people are standing outside.,Both a group of people are standing outside and no group of people are standing outside. ,Conjunction
190,2004326408.jpg#0r1e,A woman on a bike.,Either a woman on a bike or no woman is on a bike. ,Disjunction
191,2004326408.jpg#0r1e,A woman on a bike.,Both a woman on a bike and no woman is on a bike. ,Conjunction
192,5479743540.jpg#4r1e,A young person on a skateboard.,Either a young person on a skateboard or no young person on a skateboard. ,Disjunction
193,5479743540.jpg#4r1e,A young person on a skateboard.,Both a young person on a skateboard and no young person on a skateboard. ,Conjunction
194,5479743540.jpg#0r1e,A man is crouching on a handrail.,Either a man is crouching on a handrail or no man is crouching on a handrail. ,Disjunction
195,5479743540.jpg#0r1e,A man is crouching on a handrail.,Both a man is crouching on a handrail and no man is crouching on a handrail. ,Conjunction
196,2045127186.jpg#1r1e,A girl outside plays in the snow.,Either a girl outside plays in the snow or no girl outside plays in the snow. ,Disjunction
197,2045127186.jpg#1r1e,A girl outside plays in the snow.,Both a girl outside plays in the snow and no girl outside plays in the snow. ,Conjunction
198,273248777.jpg#0r1n,The football player is under duress.,Either the football player is under duress or the football player is not under duress. ,Disjunction
199,273248777.jpg#0r1n,The football player is under duress.,Both the football player is under duress and the football player is not under duress. ,Conjunction
200,273248777.jpg#0r1e,The american football player in yellow catches the ball while under pressure from the player in white.,Either the american football player in yellow catches the ball while under pressure from the player in white or the american football player in yellow does not catch the ball while under pressure from the player in white. ,Disjunction
201,273248777.jpg#0r1e,The american football player in yellow catches the ball while under pressure from the player in white.,Both the american football player in yellow catches the ball while under pressure from the player in white and the american football player in yellow does not catch the ball while under pressure from the player in white. ,Conjunction
202,862177617.jpg#0r1e,A person is standing outdoors.,Either a person is standing outdoors or no person is standing outdoors. ,Disjunction
203,862177617.jpg#0r1e,A person is standing outdoors.,Both a person is standing outdoors and no person is standing outdoors. ,Conjunction
204,7165193566.jpg#4r1e,The girl has a beverage.,Either the girl has a beverage or the girl does not have a beverage. ,Disjunction
205,7165193566.jpg#4r1e,The girl has a beverage.,Both the girl has a beverage and the girl does not have a beverage. ,Conjunction
206,4705094483.jpg#0r1e,A man in a shirt in a commercial kitchen holding up meat he took out of a bag.,Either a man in a shirt in a commercial kitchen holding up meat he took out of a bag or no man in a shirt in a commercial kitchen is holding up meat he took out of a bag. ,Disjunction
207,4705094483.jpg#0r1e,A man in a shirt in a commercial kitchen holding up meat he took out of a bag.,Both a man in a shirt in a commercial kitchen holding up meat he took out of a bag and no man in a shirt in a commercial kitchen is holding up meat he took out of a bag. ,Conjunction
208,24053752.jpg#0r1e,A person in red is cutting the grass on a riding mower.,Either a person in red is cutting the grass on a riding mower or no person in red is cutting the grass on a riding mower. ,Disjunction
209,24053752.jpg#0r1e,A person in red is cutting the grass on a riding mower.,Both a person in red is cutting the grass on a riding mower and no person in red is cutting the grass on a riding mower. ,Conjunction
210,4733474874.jpg#0r1n,A group of people go down the road in a convertible.,Either a group of people go down the road in a convertible or no group of people go down the road in a convertible. ,Disjunction
211,4733474874.jpg#0r1n,A group of people go down the road in a convertible.,Both a group of people go down the road in a convertible and no group of people go down the road in a convertible. ,Conjunction
212,2464311348.jpg#4r1e,Two men are cleaning their fish.,Either two men are cleaning their fish or no two men are cleaning their fish. ,Disjunction
213,2464311348.jpg#4r1e,Two men are cleaning their fish.,Both two men are cleaning their fish and no two men are cleaning their fish. ,Conjunction
214,424047148.jpg#0r1e,The woman has something on her face.,Either the woman has something on her face or the woman does not have something on her face. ,Disjunction
215,424047148.jpg#0r1e,The woman has something on her face.,Both the woman has something on her face and the woman does not have something on her face. ,Conjunction
216,15641879.jpg#3r1e,The person behind the counter is a man.,Either the person behind the counter is a man or the person behind the counter is not a man. ,Disjunction
217,15641879.jpg#3r1e,The person behind the counter is a man.,Both the person behind the counter is a man and the person behind the counter is not a man. ,Conjunction
218,4678920190.jpg#3r1e,People are walking a city.,Either people are walking a city or nobody is walking a city. ,Disjunction
219,4678920190.jpg#3r1e,People are walking a city.,Both people are walking a city and nobody is walking a city. ,Conjunction
220,290650302.jpg#0r1e,A woman is sitting in a room with other people.,Either a woman is sitting in a room with other people or no woman is sitting in a room with other people. ,Disjunction
221,290650302.jpg#0r1e,A woman is sitting in a room with other people.,Both a woman is sitting in a room with other people and no woman is sitting in a room with other people. ,Conjunction
222,4489833894.jpg#4r1e,Two people are playing softball.,Either two people are playing softball or no two people are playing softball. ,Disjunction
223,4489833894.jpg#4r1e,Two people are playing softball.,Both two people are playing softball and no two people are playing softball. ,Conjunction
224,3316725440.jpg#4r1e,A person is riding a bike.,Either a person is riding a bike or no person is riding a bike. ,Disjunction
225,3316725440.jpg#4r1e,A person is riding a bike.,Both a person is riding a bike and no person is riding a bike. ,Conjunction
226,664470170.jpg#0r1e,There are two little boys smiling.,Either there are two little boys smiling or there are not two little boys smiling. ,Disjunction
227,664470170.jpg#0r1e,There are two little boys smiling.,Both there are two little boys smiling and there are not two little boys smiling. ,Conjunction
228,350630236.jpg#0r1e,The men are finishing their day of work.,Either the men are finishing their day of work or the men are not finishing their day of work. ,Disjunction
229,350630236.jpg#0r1e,The men are finishing their day of work.,Both the men are finishing their day of work and the men are not finishing their day of work. ,Conjunction
